# #Time 	 Real 	 Imaginary 	 Amplitude 	 Phase 
# 
0.000000000000000000e+00	-1.395876804262178631e-08	9.164133934176923657e-08	9.269834023120921338e-08	-1.721954012458444039e+00
9.600000000000000200e-02	-1.407510785306457424e-08	9.174091563587745059e-08	9.281435375406426186e-08	-1.723031634420049363e+00
1.920000000000000040e-01	-1.437163356392993268e-08	9.184037186097775950e-08	9.295804298100596258e-08	-1.726022385239079249e+00
2.880000000000000338e-01	-1.500620678021593607e-08	9.193972373893056831e-08	9.315631510059567925e-08	-1.732587562738068243e+00
3.840000000000000080e-01	-1.597933608962548747e-08	9.203898202538034506e-08	9.341580912315373615e-08	-1.742697709003801831e+00
4.799999999999999822e-01	-1.712300846882711456e-08	9.213814531484001318e-08	9.371571501665075070e-08	-1.754540755907940008e+00
5.760000000000000675e-01	-1.815579384356591644e-08	9.223719928888658331e-08	9.400709432137472878e-08	-1.765149745103726797e+00
6.720000000000000417e-01	-1.878119524874759703e-08	9.233612194594465318e-08	9.422681524379321268e-08	-1.771459261272837926e+00
7.680000000000000160e-01	-1.879172478298990958e-08	9.243489324643181092e-08	9.432570386590752967e-08	-1.771359937953399299e+00
8.639999999999999902e-01	-1.814120175775145401e-08	9.253350444685482603e-08	9.429502980768152794e-08	-1.764391026205752500e+00
9.599999999999999645e-01	-1.696118225828036728e-08	9.263196350113746452e-08	9.417198291251315219e-08	-1.751893163596565328e+00
1.056000000000000050e+00	-1.551842953531286642e-08	9.273029393770872551e-08	9.401983338113469756e-08	-1.736609951035329225e+00
1.152000000000000135e+00	-1.413090293914865986e-08	9.282852808318792503e-08	9.389791288397655051e-08	-1.721862444988750740e+00
1.247999999999999998e+00	-1.307268968105888682e-08	9.292669687454652748e-08	9.384170825124146042e-08	-1.710556622292482176e+00
1.344000000000000083e+00	-1.249975523224739049e-08	9.302482012729466205e-08	9.386086000342007178e-08	-1.704366386575891568e+00
1.439999999999999947e+00	-1.241884210111815581e-08	9.312290054387391365e-08	9.394733761441426657e-08	-1.703373765342011348e+00
1.536000000000000032e+00	-1.270558870967816967e-08	9.322092329761606063e-08	9.408279611554664684e-08	-1.706257109323299659e+00
1.632000000000000117e+00	-1.316115869124087414e-08	9.331886091213060405e-08	9.424237847186159294e-08	-1.710906525181419946e+00
1.727999999999999980e+00	-1.358511507403358546e-08	9.341668104092136891e-08	9.439932016850529995e-08	-1.715208911287309457e+00
1.824000000000000066e+00	-1.383930577048338391e-08	9.351435522631131185e-08	9.453285681498086049e-08	-1.717721144388396182e+00
1.919999999999999929e+00	-1.388322413656788598e-08	9.361186498977610526e-08	9.463575000648671817e-08	-1.718029379623177366e+00
2.016000000000000014e+00	-1.377281132184653122e-08	9.370920462784478333e-08	9.471591927279420997e-08	-1.716725499988321246e+00
2.112000000000000099e+00	-1.362748838334454172e-08	9.380638018103213161e-08	9.479106182708646071e-08	-1.715059637468390186e+00
2.208000000000000185e+00	-1.357995180445996367e-08	9.390340575496200501e-08	9.488026508917693400e-08	-1.714416811412596831e+00
2.304000000000000270e+00	-1.372709763447046316e-08	9.400029852045602320e-08	9.499731223251072313e-08	-1.715803828618298388e+00
