# #Time 	 Real 	 Imaginary 	 Amplitude 	 Phase 
# 
0.000000000000000000e+00	-1.785508617985284597e-08	1.276769338739781845e-07	1.289193683895099299e-07	-1.709741054038714569e+00
2.399999999999999911e-01	-1.784618472366033752e-08	1.280251938928559162e-07	1.292630518767615907e-07	-1.709299713544492727e+00
4.799999999999999822e-01	-1.783596507222466022e-08	1.283725220190333008e-07	1.296056559706589629e-07	-1.708851629305866870e+00
7.199999999999999734e-01	-1.782336582988906069e-08	1.287189024626504988e-07	1.299470208227006142e-07	-1.708388769373614613e+00
9.599999999999999645e-01	-1.780912168181196090e-08	1.290643192478775375e-07	1.302872339026185634e-07	-1.707916839398788467e+00
1.199999999999999956e+00	-1.779537709538959070e-08	1.294087561575067353e-07	1.306265731625849387e-07	-1.707452178344863958e+00
1.439999999999999947e+00	-1.778465138414513289e-08	1.297521966982226049e-07	1.309653632563580701e-07	-1.707013795746096019e+00
1.679999999999999938e+00	-1.777866921655993453e-08	1.300946240618711648e-07	1.313038167339831820e-07	-1.706614513923966792e+00
1.919999999999999929e+00	-1.777756468809923406e-08	1.304360210940385119e-07	1.316419287502428484e-07	-1.706255055044292757e+00
2.160000000000000142e+00	-1.777976070357808145e-08	1.307763702674591744e-07	1.319794639745444720e-07	-1.705923287478814832e+00
2.399999999999999911e+00	-1.778252977172174896e-08	1.311156536401797520e-07	1.323160345331349209e-07	-1.705598586750443291e+00
2.639999999999999680e+00	-1.778297998736224996e-08	1.314538527939116196e-07	1.326512336602804061e-07	-1.705259306596561553e+00
2.879999999999999893e+00	-1.777906997678005990e-08	1.317909487540500530e-07	1.329847716948519234e-07	-1.704890353215087861e+00
3.120000000000000107e+00	-1.777027483643963654e-08	1.321269219381918842e-07	1.333165637444336777e-07	-1.704488052941584453e+00
3.359999999999999876e+00	-1.775767733111597763e-08	1.324617522496663085e-07	1.336467392540798526e-07	-1.704060688176894489e+00
3.599999999999999645e+00	-1.774348215547771522e-08	1.327954192399463851e-07	1.339755743787459099e-07	-1.703624759941762212e+00
3.839999999999999858e+00	-1.773015936487983865e-08	1.331279023700797735e-07	1.343033765046937512e-07	-1.703198568882184460e+00
4.080000000000000071e+00	-1.771954309886710414e-08	1.334591812731379224e-07	1.346303653479737698e-07	-1.702795558917668872e+00
4.320000000000000284e+00	-1.771220343064453570e-08	1.337892358781195460e-07	1.349565922332793962e-07	-1.702419761288609390e+00
4.559999999999999609e+00	-1.770728869071932673e-08	1.341180463093812639e-07	1.352819219948541838e-07	-1.702064750595074338e+00
4.799999999999999822e+00	-1.770285983256902372e-08	1.344455925680714479e-07	1.356060787989662844e-07	-1.701716212664971417e+00
5.040000000000000036e+00	-1.769657841846912744e-08	1.347718540119903177e-07	1.359287369232505544e-07	-1.701357054941848856e+00
5.279999999999999361e+00	-1.768651490392033057e-08	1.350968087843943317e-07	1.362496258826929900e-07	-1.700973319824374164e+00
5.519999999999999574e+00	-1.767182820821701287e-08	1.354204333195932999e-07	1.365686174517672696e-07	-1.700559081050307064e+00
5.759999999999999787e+00	-1.765311788839962456e-08	1.357427021800505950e-07	1.368857690423794487e-07	-1.700118901973159735e+00
6.000000000000000000e+00	-1.763234626149093236e-08	1.360635881290765262e-07	1.372013106688273779e-07	-1.699667154111631273e+00
6.240000000000000213e+00	-1.761234875890529774e-08	1.363830626707238046e-07	1.375155795255646276e-07	-1.699224376919880930e+00
6.479999999999999538e+00	-1.759607264821143206e-08	1.367010967567631953e-07	1.378289215917438220e-07	-1.698811732178394207e+00
6.719999999999999751e+00	-1.758595014732031459e-08	1.370176614807115570e-07	1.381416128479282768e-07	-1.698446496566355934e+00
6.959999999999999964e+00	-1.758258110783364507e-08	1.373327292781873508e-07	1.384536951092654856e-07	-1.698132666357840659e+00
7.199999999999999289e+00	-1.758547591986239931e-08	1.376462735237946113e-07	1.387650733373327628e-07	-1.697866414966282100e+00
7.439999999999999503e+00	-1.759265904243413507e-08	1.379582687728082339e-07	1.390754671930809415e-07	-1.697633351207460617e+00
7.679999999999999716e+00	-1.760128035554082875e-08	1.382686901124671481e-07	1.393844888628997232e-07	-1.697412986824397452e+00
7.919999999999999929e+00	-1.760827997397847734e-08	1.385775123767649286e-07	1.396917265272873963e-07	-1.697183523963314622e+00
8.160000000000000142e+00	-1.761104012902026782e-08	1.388847093066640094e-07	1.399968257269518458e-07	-1.696926487155764995e+00
8.400000000000000355e+00	-1.760787663761864723e-08	1.391902528708170288e-07	1.402995502983797314e-07	-1.696630160342638138e+00
8.640000000000000568e+00	-1.759827904506130518e-08	1.394941128763027010e-07	1.405998113529834091e-07	-1.696291207166849224e+00
