# # Time 	 Separation 	 Orbital Phase 
# 
2.399999999999999911e-01	8.999995211067151502e+00	5.786413006644989995e-05
4.799999999999999822e-01	8.999942890703684029e+00	7.809853093384313801e-04
7.199999999999999734e-01	8.999778598366553695e+00	2.522128109784615210e-03
9.599999999999999645e-01	8.999463166253983459e+00	5.082725396438511102e-03
1.199999999999999956e+00	8.999006981109339165e+00	8.232003639273960047e-03
1.439999999999999947e+00	8.998450280304554738e+00	1.181337982503932391e-02
1.679999999999999938e+00	8.997848335053566515e+00	1.572574699965549605e-02
1.919999999999999929e+00	8.997262664595316650e+00	1.989936542625521734e-02
2.160000000000000142e+00	8.996751103429254215e+00	2.428154077528355340e-02
2.399999999999999911e+00	8.996353398815955416e+00	2.882995831628524727e-02
2.640000000000000124e+00	8.996071683541313035e+00	3.351024324926252240e-02
2.879999999999999893e+00	8.995861689782321591e+00	3.829748729002475927e-02
3.120000000000000107e+00	8.995633058778057745e+00	4.317705644519573976e-02
3.359999999999999876e+00	8.995236771926474972e+00	4.814083115914453981e-02
3.600000000000000089e+00	8.994556612128810968e+00	5.319556923887151095e-02
3.839999999999999858e+00	8.993479527903309290e+00	5.832751641055530789e-02
4.080000000000000071e+00	8.992179472248144734e+00	6.353538225942692574e-02
4.320000000000000284e+00	8.990685392657200126e+00	6.879459224015803398e-02
4.559999999999999609e+00	8.989104841065264750e+00	7.410764789574082745e-02
4.799999999999999822e+00	8.987378430632317006e+00	7.945695726338114495e-02
5.040000000000000036e+00	8.985585111381983126e+00	8.483467374986951304e-02
5.280000000000000249e+00	8.983765034630389223e+00	9.022943833934542190e-02
5.519999999999999574e+00	8.981986214842198279e+00	9.563578511019263373e-02
5.759999999999999787e+00	8.980269253016539110e+00	1.010506502712723020e-01
6.000000000000000000e+00	8.978590559515112091e+00	1.064733810298822969e-01
6.240000000000000213e+00	8.976934774678255735e+00	1.119036609849096003e-01
6.480000000000000426e+00	8.975310511349093190e+00	1.173411701480177871e-01
6.719999999999999751e+00	8.973727514847084308e+00	1.227862522344533719e-01
6.959999999999999964e+00	8.972178963451794331e+00	1.282412995121342825e-01
7.200000000000000178e+00	8.970646513208656359e+00	1.337087760346939991e-01
7.440000000000000391e+00	8.969134021287647585e+00	1.391905327379163726e-01
7.679999999999999716e+00	8.967655187387853388e+00	1.446889578027328316e-01
7.919999999999999929e+00	8.966211122270166811e+00	1.502066962167500908e-01
8.160000000000000142e+00	8.964802329778770229e+00	1.557469219410025363e-01
8.400000000000000355e+00	8.963460323227037563e+00	1.613114285829949923e-01
8.640000000000000568e+00	8.962210040486580098e+00	1.669023827623506706e-01
8.880000000000000782e+00	8.961072340925417379e+00	1.725226237314230471e-01
9.119999999999999218e+00	8.960090277955504945e+00	1.781733413103354924e-01
9.359999999999999432e+00	8.959308169991613724e+00	1.838558390234375506e-01
9.599999999999999645e+00	8.958752495947269523e+00	1.895724495639424800e-01
9.839999999999999858e+00	8.958459369911309977e+00	1.953238050467660802e-01
1.008000000000000007e+01	8.958454349407627859e+00	2.011105966335760831e-01
1.032000000000000028e+01	8.958726472183336398e+00	2.069351114800612457e-01
1.056000000000000050e+01	8.959267549426169097e+00	2.127977371256187522e-01
1.080000000000000071e+01	8.960046978865175760e+00	2.186990694662330204e-01
1.103999999999999915e+01	8.960993514570480656e+00	2.246414153053984120e-01
1.127999999999999936e+01	8.962053921349486529e+00	2.306243461056825261e-01
1.151999999999999957e+01	8.963150179399340445e+00	2.366484333378182092e-01
