# #Time 	 Real 	 Imaginary 	 Amplitude 	 Phase 
# 
0.000000000000000000e+00	-2.391183526374865555e-08	9.882821221985809990e-08	1.016798475424405964e-07	-1.808187626281089422e+00
2.285714285714284255e-01	-2.389724999447542526e-08	9.908474551518553401e-08	1.019257835442413161e-07	-1.807456656943099871e+00
4.571428571428568510e-01	-2.389365356789627092e-08	9.934064160205349327e-08	1.021737234064134623e-07	-1.806835235859066469e+00
6.857142857142852765e-01	-2.389161993462534640e-08	9.959587041183298308e-08	1.024214182004487541e-07	-1.806233180871927857e+00
9.142857142857137021e-01	-2.389164432495198646e-08	9.985042123371079231e-08	1.026689694557196450e-07	-1.805655062683448886e+00
1.142857142857142128e+00	-2.389388047796616375e-08	1.001042832216541113e-07	1.029163983222133260e-07	-1.805102183394020843e+00
1.371428571428570553e+00	-2.389805283713260119e-08	1.003574453783853434e-07	1.031636262075058168e-07	-1.804571785525057370e+00
1.599999999999998979e+00	-2.390337556808463862e-08	1.006098965400801108e-07	1.034104571373443287e-07	-1.804056336159139740e+00
1.828571428571427404e+00	-2.390856626955917933e-08	1.008616253442960858e-07	1.036565820783178893e-07	-1.803543709703498532e+00
2.057142857142856052e+00	-2.391201500961740809e-08	1.011126202118963676e-07	1.039016189861128358e-07	-1.803018822363539719e+00
2.285714285714284255e+00	-2.391210402760265908e-08	1.013628693267265022e-07	1.041451871051846711e-07	-1.802466651499723183e+00
2.514285714285712459e+00	-2.390760208345516878e-08	1.016123606327948553e-07	1.043869976134479512e-07	-1.801875909699464318e+00
2.742857142857141106e+00	-2.389801249137473530e-08	1.018610818114532661e-07	1.046269324258217856e-07	-1.801242239665935996e+00
2.971428571428569754e+00	-2.388375624613165997e-08	1.021090202837140143e-07	1.048650839685190610e-07	-1.800569838331515404e+00
3.199999999999997957e+00	-2.386612055646216124e-08	1.023561631967883878e-07	1.051017404935958440e-07	-1.799870889664931362e+00
3.428571428571426161e+00	-2.384697931643782916e-08	1.026024974249857027e-07	1.053373195992892747e-07	-1.799162898435063163e+00
3.657142857142854808e+00	-2.382836582870459745e-08	1.028480095710164238e-07	1.055722695161303384e-07	-1.798464694715888879e+00
3.885714285714283456e+00	-2.381202223584338257e-08	1.030926859580425352e-07	1.058069671666468256e-07	-1.797792272546678172e+00
4.114285714285712103e+00	-2.379905031605143454e-08	1.033365126401695260e-07	1.060416410688643731e-07	-1.797155610132356252e+00
4.342857142857139863e+00	-2.378974801985797841e-08	1.035794753816229319e-07	1.062763371178202015e-07	-1.796557232227849799e+00
4.571428571428568510e+00	-2.378365288140323278e-08	1.038215596480634553e-07	1.065109308575391245e-07	-1.795992684008261620e+00
4.799999999999997158e+00	-2.377975188038127485e-08	1.040627506165846934e-07	1.067451763096674738e-07	-1.795452519937071889e+00
5.028571428571424917e+00	-2.377677784050842135e-08	1.043030331623816737e-07	1.069787730877008302e-07	-1.794925056978904365e+00
5.257142857142853565e+00	-2.377350498084122584e-08	1.045423918628108413e-07	1.072114323916604496e-07	-1.794399085635392854e+00
5.485714285714282212e+00	-2.376897728906147310e-08	1.047808110108775372e-07	1.074429273496639005e-07	-1.793865937263004362e+00
5.714285714285710860e+00	-2.376263951940819992e-08	1.050182746033183898e-07	1.076731212401095442e-07	-1.793320643900205402e+00
5.942857142857139507e+00	-2.375437532289032856e-08	1.052547663413768797e-07	1.079019748872029891e-07	-1.792762244830850449e+00
6.171428571428567267e+00	-2.374447760995255849e-08	1.054902696123435136e-07	1.081295389792006011e-07	-1.792193478855431010e+00
6.399999999999995914e+00	-2.373357887628155124e-08	1.057247674614419013e-07	1.083559376363503272e-07	-1.791620120557104956e+00
6.628571428571424562e+00	-2.372255841766990626e-08	1.059582425695500948e-07	1.085813471380208021e-07	-1.791050117286157484e+00
6.857142857142852321e+00	-2.371242957979909020e-08	1.061906772275277874e-07	1.088059706386461121e-07	-1.790492557415124253e+00
7.085714285714280969e+00	-2.370420324875782070e-08	1.064220533257535508e-07	1.090300081891584252e-07	-1.789956437775521048e+00
7.314285714285709616e+00	-2.369872877129937937e-08	1.066523523484762506e-07	1.092536223968758833e-07	-1.789449243424209079e+00
7.542857142857138264e+00	-2.369652829830632509e-08	1.068815553836906959e-07	1.094769032016770893e-07	-1.788975484903197577e+00
7.771428571428566912e+00	-2.369765710613015915e-08	1.071096431125728885e-07	1.096998386508496786e-07	-1.788535483623809208e+00
7.999999999999994671e+00	-2.370163081931880736e-08	1.073365958114158109e-07	1.099223003028890818e-07	-1.788124765758820844e+00
8.228571428571424207e+00	-2.370584785916867435e-08	1.075634493400985606e-07	1.101447359462176098e-07	-1.787718058193687565e+00
8.457142857142851966e+00	-2.371287088588075704e-08	1.077873162923181168e-07	1.103648757492648898e-07	-1.787343634549772631e+00
8.685714285714279725e+00	-2.371857932034417834e-08	1.080098215215863700e-07	1.105834189655049566e-07	-1.786961731858514479e+00
8.914285714285709261e+00	-2.372155775626963141e-08	1.082312325630385555e-07	1.108003249295712756e-07	-1.786559382686658148e+00
9.142857142857137021e+00	-2.372085127941123471e-08	1.084517754474411591e-07	1.110156132403102405e-07	-1.786127851016678258e+00
9.371428571428564780e+00	-2.371611205456420285e-08	1.086715727326652132e-07	1.112293337711576415e-07	-1.785663997203543074e+00
9.599999999999994316e+00	-2.370760082390533250e-08	1.088906095389339141e-07	1.114415325746474233e-07	-1.785170302134730713e+00
9.828571428571422075e+00	-2.369604873478886724e-08	1.091087348218114054e-07	1.116522222799790487e-07	-1.784653602049399046e+00
1.005714285714284983e+01	-2.368242574912575526e-08	1.093256962915162006e-07	1.118613658015478327e-07	-1.784122957955247113e+00
1.028571428571427937e+01	-2.366768816885074762e-08	1.095411993026841617e-07	1.120688797478065781e-07	-1.783587321764337874e+00
1.051428571428570713e+01	-2.365258116954296065e-08	1.097549744358614800e-07	1.122746588033044293e-07	-1.783053691335318547e+00
1.074285714285713667e+01	-2.363755102455433580e-08	1.099668369406136985e-07	1.124786159461518731e-07	-1.782526255019615480e+00
1.097142857142856442e+01	-2.362278354555100460e-08	1.101767236925466402e-07	1.126807274828474165e-07	-1.782006683254358181e+00
1.119999999999999218e+01	-2.360834251511655400e-08	1.103846992490424554e-07	1.128810686723536160e-07	-1.781495341098509044e+00
1.142857142857142172e+01	-2.359434878012453871e-08	1.105909304858936325e-07	1.130798266716655437e-07	-1.780992897903703964e+00
1.165714285714284948e+01	-2.358112774583358197e-08	1.107956369046423692e-07	1.132772825542291750e-07	-1.780501691959276656e+00
1.188571428571427901e+01	-2.356926437413939167e-08	1.109990293979419147e-07	1.134737623877134475e-07	-1.780026304166840045e+00
1.211428571428570677e+01	-2.355953617852218418e-08	1.112012526664886209e-07	1.136695664614910770e-07	-1.779573067892216143e+00
1.234285714285713453e+01	-2.355273609798399156e-08	1.114023449442942840e-07	1.138648929072908309e-07	-1.779148604484299234e+00
1.257142857142856407e+01	-2.354943477988234970e-08	1.116022241799295454e-07	1.140597752073849343e-07	-1.778757804478330540e+00
1.279999999999999183e+01	-2.354975437274496154e-08	1.118007030680942005e-07	1.142540508583253205e-07	-1.778401875018716494e+00
1.302857142857141959e+01	-2.355322599339274774e-08	1.119975284635584241e-07	1.144473714710888895e-07	-1.778077078785679221e+00
1.325714285714284912e+01	-2.355878128564640549e-08	1.121924351868790058e-07	1.146392545720137172e-07	-1.777774605130562735e+00
1.348571428571427688e+01	-2.356489133969421352e-08	1.123852013369717141e-07	1.148291669542336442e-07	-1.777481696116947507e+00
1.371428571428570464e+01	-2.356982521379001980e-08	1.125756924083382746e-07	1.150166213285080091e-07	-1.777183798885841215e+00
1.394285714285713418e+01	-2.357196710792157985e-08	1.127638847491271808e-07	1.152012644767902454e-07	-1.776867231612432096e+00
1.417142857142856194e+01	-2.357011531608308837e-08	1.129498638419098223e-07	1.153829366844137133e-07	-1.776521714121816586e+00
1.439999999999999147e+01	-2.356369135249385871e-08	1.131337988246666131e-07	1.155616890957194838e-07	-1.776142157144209088e+00
1.462857142857141923e+01	-2.355281178975593599e-08	1.133158996333801339e-07	1.157377555205126104e-07	-1.775729306648256234e+00
1.485714285714284699e+01	-2.353821117840929220e-08	1.134963665385304091e-07	1.159114860698793587e-07	-1.775289139887777701e+00
1.508571428571427653e+01	-2.352104156182839672e-08	1.136753428465342701e-07	1.160832587733061845e-07	-1.774831221192257447e+00
1.531428571428570429e+01	-2.350260282440097561e-08	1.138528801472321754e-07	1.162533898746249764e-07	-1.774366466940117570e+00
1.554285714285713382e+01	-2.348407130359095808e-08	1.140289223396821055e-07	1.164220629216876470e-07	-1.773904880943091289e+00
1.577142857142856158e+01	-2.346628936612527583e-08	1.142033103702399871e-07	1.165892912584002610e-07	-1.773453783832205533e+00
1.599999999999998934e+01	-2.344965862251002820e-08	1.143758054881292043e-07	1.167549201129041349e-07	-1.773016894074220362e+00
1.622857142857141710e+01	-2.343415044221000582e-08	1.145461253514252370e-07	1.169186650623952183e-07	-1.772594377370847241e+00
1.645714285714284841e+01	-2.341941752808288292e-08	1.147139854288579321e-07	1.170801758212162298e-07	-1.772183732688089153e+00
1.668571428571427617e+01	-2.340496727090682831e-08	1.148791378191410124e-07	1.172391095113802668e-07	-1.771781192374214164e+00
1.691428571428570393e+01	-2.339034660310543220e-08	1.150414009230828734e-07	1.173951968376853924e-07	-1.771383223197152690e+00
1.714285714285713169e+01	-2.337529058216008243e-08	1.152006756430009208e-07	1.175482874328857535e-07	-1.770987736728610651e+00
1.737142857142855945e+01	-2.335980113349072968e-08	1.153569468145811774e-07	1.176983665450729447e-07	-1.770594734613804455e+00
1.759999999999998721e+01	-2.334414331880443399e-08	1.155102711415239427e-07	1.178455419881348831e-07	-1.770206286514983907e+00
1.782857142857141852e+01	-2.332876842453027494e-08	1.156607552795166809e-07	1.179900069837848896e-07	-1.769825917211490740e+00
1.805714285714284628e+01	-2.331419018975998107e-08	1.158085287244469080e-07	1.181319888494447790e-07	-1.769457617810099137e+00
1.828571428571427404e+01	-2.330084933070345337e-08	1.159537165269619830e-07	1.182716954978967071e-07	-1.769104766562820785e+00
1.851428571428570180e+01	-2.328900059192929255e-08	1.160964160784475822e-07	1.184092706456335909e-07	-1.768769235996950684e+00
1.874285714285712956e+01	-2.327864735681823352e-08	1.162366808779080536e-07	1.185447654022552600e-07	-1.768450887027398943e+00
1.897142857142856087e+01	-2.326953472929682303e-08	1.163745125571497629e-07	1.186781294907876355e-07	-1.768147535225898626e+00
1.919999999999998863e+01	-2.326119675936952905e-08	1.165098609227857349e-07	1.188092208834187093e-07	-1.767855350520396662e+00
1.942857142857141639e+01	-2.325032552504104606e-08	1.166423166602668821e-07	1.189369903473866661e-07	-1.767547676389641165e+00
1.965714285714284415e+01	-2.324146270829881826e-08	1.167727543393671687e-07	1.190631838345650732e-07	-1.767260514944565708e+00
1.988571428571427191e+01	-2.323156519684545695e-08	1.169003803703853493e-07	1.191864277182433940e-07	-1.766970045069645945e+00
2.011428571428569967e+01	-2.322026695827940662e-08	1.170249725526791729e-07	1.193064331818241773e-07	-1.766673608604167223e+00
2.034285714285713098e+01	-2.320736382431261907e-08	1.171463156899497608e-07	1.194229501201648591e-07	-1.766369872541855957e+00
2.057142857142855874e+01	-2.319278874482709960e-08	1.172642195985133191e-07	1.195357797808276988e-07	-1.766058590045353593e+00
2.079999999999998650e+01	-2.317655999521829226e-08	1.173785289555594574e-07	1.196447741983872239e-07	-1.765740154987404331e+00
2.102857142857141426e+01	-2.315872032373506851e-08	1.174891253047738936e-07	1.197498262709129807e-07	-1.765415097817381040e+00
2.125714285714284202e+01	-2.313928548933511036e-08	1.175959229488309265e-07	1.198508557630872002e-07	-1.765083670904086244e+00
2.148571428571427333e+01	-2.311821683871466514e-08	1.176988613254143743e-07	1.199477965912711215e-07	-1.764745638069844080e+00
2.171428571428570109e+01	-2.309542508217570787e-08	1.177978962867480624e-07	1.200405890909813978e-07	-1.764400321569334684e+00
2.194285714285712885e+01	-2.307080408806243117e-08	1.178929922760130375e-07	1.201291789244471136e-07	-1.764046892281761592e+00
2.217142857142855661e+01	-2.304428568941816413e-08	1.179841164676725825e-07	1.202135218750072723e-07	-1.763684826847462750e+00
2.239999999999998437e+01	-2.301590134029096748e-08	1.180712351499305535e-07	1.202935920335584733e-07	-1.763314415308785410e+00
2.262857142857141568e+01	-2.298583482424212111e-08	1.181543119779110291e-07	1.203693899691315743e-07	-1.762937191222052391e+00
2.285714285714284344e+01	-2.295445215208444813e-08	1.182333073461636374e-07	1.204409475204123636e-07	-1.762556173151982319e+00
2.308571428571427120e+01	-2.292229963840116636e-08	1.183081780795580065e-07	1.205083267712943325e-07	-1.762175846384386402e+00
2.331428571428569896e+01	-2.289006771501764789e-08	1.183788767753645806e-07	1.205716121920705157e-07	-1.761801866989148424e+00
2.354285714285712672e+01	-2.285852482616755144e-08	1.184453504100456970e-07	1.206308965024592395e-07	-1.761440524939087870e+00
2.377142857142855803e+01	-2.282843141520762246e-08	1.185075381348208542e-07	1.206862621662252895e-07	-1.761098048235176128e+00
2.399999999999998579e+01	-2.280044746433950369e-08	1.185653685146636126e-07	1.207377613490994532e-07	-1.760779857153679240e+00
2.422857142857141355e+01	-2.277504810561096551e-08	1.186187565960453058e-07	1.207853974311660448e-07	-1.760489885777417829e+00
2.445714285714284131e+01	-2.275246002400939894e-08	1.186676013682307352e-07	1.208291109444800163e-07	-1.760230072817490887e+00
2.468571428571426907e+01	-2.273262794432517257e-08	1.187117841810154491e-07	1.208687721319907507e-07	-1.760000095701336642e+00
2.491428571428569683e+01	-2.271521549312484147e-08	1.187511685709967447e-07	1.209041812836776107e-07	-1.759797381378441550e+00
2.514285714285712814e+01	-2.269963968549230496e-08	1.187856017754793866e-07	1.209350769256544148e-07	-1.759617386653639093e+00
2.537142857142855590e+01	-2.268513359829584305e-08	1.188149179638718503e-07	1.209611508590015312e-07	-1.759454103335139408e+00
2.559999999999998366e+01	-2.267082829347205092e-08	1.188389428954907866e-07	1.209820681094095512e-07	-1.759300715851091379e+00
