# # Time 	 Separation 	 Orbital Phase 
# 
9.600000000000000200e-02	9.999998457495371085e+00	1.911204068322384817e-07
1.920000000000000040e-01	9.999976653142791605e+00	6.465840541916253742e-06
2.879999999999999782e-01	9.999918643600343771e+00	3.746686978449662053e-05
3.840000000000000080e-01	9.999826498726251955e+00	1.151399791523671475e-04
4.799999999999999822e-01	9.999705836346695520e+00	2.577597310837510293e-04
5.759999999999999565e-01	9.999562154658860891e+00	4.755586166635675433e-04
6.720000000000000417e-01	9.999398038656645227e+00	7.737049981290953843e-04
7.680000000000000160e-01	9.999215491235780462e+00	1.152422199093633241e-03
8.639999999999999902e-01	9.999016494611673522e+00	1.608541531663859646e-03
9.599999999999999645e-01	9.998802005679099381e+00	2.137491234336523320e-03
1.056000000000000050e+00	9.998574904703659172e+00	2.733797059085714670e-03
1.151999999999999913e+00	9.998337392570050497e+00	3.391835071292635586e-03
1.247999999999999998e+00	9.998095488685114773e+00	4.106116987836729883e-03
1.344000000000000083e+00	9.997857844971600016e+00	4.871316794742575236e-03
1.439999999999999947e+00	9.997617550416711296e+00	5.682783156672602254e-03
1.536000000000000032e+00	9.997358866887536166e+00	6.536141302471741750e-03
1.631999999999999895e+00	9.997091884932014949e+00	7.427610039226783568e-03
1.727999999999999980e+00	9.996823473712700192e+00	8.353792842693656684e-03
1.824000000000000066e+00	9.996554990045581235e+00	9.311703545093559867e-03
1.919999999999999929e+00	9.996286537461463340e+00	1.029845781519599796e-02
2.016000000000000014e+00	9.996014662723940347e+00	1.131190692427498298e-02
2.112000000000000099e+00	9.995737381373762886e+00	1.234993929608195484e-02
2.208000000000000185e+00	9.995451927881894960e+00	1.341050826306414145e-02
2.303999999999999826e+00	9.995158064617635674e+00	1.449201200844890680e-02
2.399999999999999911e+00	9.994857363892833746e+00	1.559300203591945828e-02
2.495999999999999996e+00	9.994549530816634331e+00	1.671208700193709679e-02
2.592000000000000082e+00	9.994235167271805054e+00	1.784817322258490033e-02
2.688000000000000167e+00	9.993913080128868032e+00	1.900034399353900047e-02
2.783999999999999808e+00	9.993579833988189165e+00	2.016740126279129366e-02
2.879999999999999893e+00	9.993234942259368481e+00	2.134850114803286611e-02
2.975999999999999979e+00	9.992880169416890723e+00	2.254314291206984192e-02
3.072000000000000064e+00	9.992514569532524149e+00	2.375072611829236180e-02
3.168000000000000149e+00	9.992136192398026751e+00	2.497058698008448180e-02
3.263999999999999790e+00	9.991743790349500998e+00	2.620235252031893544e-02
3.359999999999999876e+00	9.991336361533852184e+00	2.744550230057454798e-02
3.455999999999999961e+00	9.990913601985610626e+00	2.869968566983036387e-02
3.552000000000000046e+00	9.990475049527525186e+00	2.996495057040935925e-02
3.648000000000000131e+00	9.990020014625518030e+00	3.124116622171369678e-02
3.744000000000000217e+00	9.989546716535066651e+00	3.252784963228160658e-02
3.839999999999999858e+00	9.989055744291775341e+00	3.382489149484580598e-02
3.935999999999999943e+00	9.988547794276856351e+00	3.513232220810808687e-02
